user_id,signup_date,country,store,acquisition_channel
u_000000,2025-10-16,US,play_store,paid_social
u_000001,2024-08-16,US,app_store,influencer
u_000002,2024-03-30,IN,app_store,organic
u_000003,2024-08-11,US,play_store,influencer
u_000004,2024-07-22,CA,play_store,referral
u_000005,2024-08-13,DE,app_store,organic
u_000006,2024-06-12,CA,app_store,paid_social
u_000007,2024-08-08,MX,app_store,organic
u_000008,2025-01-24,US,stripe,influencer
u_000009,2024-09-27,JP,play_store,influencer
u_000010,2024-05-07,MX,app_store,influencer
u_000011,2024-10-27,JP,play_store,paid_search
u_000012,2025-08-14,US,app_store,paid_social
u_000013,2024-10-23,MX,stripe,organic
u_000014,2025-01-24,US,play_store,paid_search
u_000015,2024-06-15,GB,app_store,paid_search
u_000016,2025-11-30,BR,play_store,paid_social
u_000017,2025-06-30,CA,app_store,referral
u_000018,2024-10-03,MX,play_store,influencer
u_000019,2024-08-12,CA,stripe,organic
u_000020,2024-08-22,JP,stripe,referral
u_000021,2024-10-01,US,stripe,influencer
u_000022,2024-11-18,US,play_store,referral
u_000023,2024-05-26,US,app_store,influencer
u_000024,2025-07-05,US,play_store,influencer
u_000025,2025-02-12,GB,stripe,paid_social
u_000026,2025-06-05,IN,play_store,organic
u_000027,2024-06-05,BR,play_store,referral
u_000028,2025-09-02,US,app_store,referral
u_000029,2025-06-25,US,play_store,organic
u_000030,2025-11-27,CA,play_store,influencer
u_000031,2024-09-30,AU,app_store,paid_search
u_000032,2025-03-21,US,app_store,paid_search
u_000033,2025-05-27,AU,play_store,organic
u_000034,2025-10-02,US,play_store,influencer
u_000035,2024-07-22,US,play_store,influencer
u_000036,2025-06-27,FR,play_store,referral
u_000037,2024-01-20,US,app_store,paid_search
u_000038,2024-09-02,US,stripe,organic
u_000039,2024-03-28,CA,stripe,influencer
u_000040,2024-05-08,US,play_store,influencer
u_000041,2024-06-18,US,stripe,referral
u_000042,2024-08-04,FR,play_store,paid_social
u_000043,2024-11-15,GB,play_store,paid_search
u_000044,2025-03-24,FR,play_store,paid_social
u_000045,2024-08-18,US,app_store,influencer
u_000046,2024-08-23,IN,app_store,organic
u_000047,2024-08-22,US,app_store,paid_search
u_000048,2024-03-13,IN,app_store,referral
u_000049,2024-08-07,IN,play_store,influencer
u_000050,2025-08-13,DE,play_store,referral
u_000051,2024-07-13,US,play_store,paid_search
u_000052,2025-03-09,DE,stripe,organic
u_000053,2025-11-20,BR,play_store,organic
u_000054,2025-02-16,CA,stripe,organic
u_000055,2024-09-11,US,play_store,paid_social
u_000056,2025-03-08,US,play_store,organic
u_000057,2025-03-29,JP,stripe,organic
u_000058,2024-02-21,BR,play_store,organic
u_000059,2024-04-05,FR,stripe,paid_social
u_000060,2025-02-20,IN,app_store,referral
u_000061,2024-03-01,US,app_store,referral
u_000062,2024-09-28,FR,play_store,paid_search
u_000063,2025-03-09,CA,play_store,influencer
u_000064,2025-11-08,CA,app_store,paid_search
u_000065,2024-08-10,MX,play_store,influencer
u_000066,2024-03-03,AU,app_store,influencer
u_000067,2025-05-03,IN,stripe,paid_social
u_000068,2024-02-28,MX,app_store,paid_social
u_000069,2024-03-11,IN,play_store,paid_social
u_000070,2025-02-17,US,stripe,paid_social
u_000071,2025-08-15,IN,play_store,referral
u_000072,2025-11-04,IN,play_store,paid_search
u_000073,2024-07-28,BR,app_store,paid_search
u_000074,2025-02-09,US,play_store,referral
u_000075,2024-11-19,FR,stripe,organic
u_000076,2025-04-14,BR,play_store,organic
u_000077,2024-03-16,IN,play_store,paid_social
u_000078,2024-12-23,FR,stripe,paid_search
u_000079,2024-10-18,US,stripe,paid_search
u_000080,2025-09-18,MX,stripe,influencer
u_000081,2024-01-09,BR,play_store,organic
u_000082,2024-05-17,US,stripe,influencer
u_000083,2024-06-08,US,play_store,paid_search
u_000084,2024-07-27,CA,stripe,influencer
u_000085,2025-05-15,US,stripe,organic
u_000086,2024-04-04,BR,stripe,organic
u_000087,2024-01-04,GB,app_store,paid_search
u_000088,2024-06-14,AU,play_store,referral
u_000089,2025-07-28,US,app_store,paid_social
u_000090,2025-07-12,US,app_store,influencer
u_000091,2024-05-31,DE,app_store,paid_search
u_000092,2024-02-10,FR,app_store,paid_social
u_000093,2025-11-13,US,play_store,referral
u_000094,2025-09-27,AU,stripe,paid_social
u_000095,2024-06-15,MX,stripe,referral
u_000096,2024-01-26,US,stripe,referral
u_000097,2025-11-16,FR,stripe,paid_search
u_000098,2024-06-12,AU,app_store,organic
u_000099,2025-04-26,US,stripe,referral
u_000100,2024-12-24,GB,play_store,paid_social
u_000101,2024-08-16,US,app_store,paid_search
u_000102,2024-10-12,FR,stripe,paid_search
u_000103,2024-12-25,BR,app_store,influencer
u_000104,2024-12-05,FR,app_store,paid_search
u_000105,2024-07-01,IN,stripe,organic
u_000106,2024-04-21,IN,app_store,paid_search
u_000107,2025-03-22,BR,play_store,referral
u_000108,2025-08-13,US,app_store,referral
u_000109,2024-01-02,IN,stripe,paid_social
u_000110,2025-01-07,DE,stripe,paid_search
u_000111,2025-09-30,GB,stripe,paid_search
u_000112,2025-06-03,GB,app_store,referral
u_000113,2025-12-14,US,app_store,referral
u_000114,2025-11-11,MX,play_store,paid_social
u_000115,2025-09-22,IN,app_store,organic
u_000116,2024-11-07,US,app_store,influencer
u_000117,2025-09-13,BR,play_store,referral
u_000118,2025-11-22,US,play_store,paid_social
u_000119,2025-11-05,US,play_store,influencer
u_000120,2024-12-09,US,stripe,paid_social
u_000121,2025-11-19,GB,stripe,paid_social
u_000122,2024-01-26,US,stripe,influencer
u_000123,2024-03-15,DE,stripe,influencer
u_000124,2024-07-18,CA,app_store,referral
u_000125,2024-09-06,US,play_store,organic
u_000126,2025-03-11,US,stripe,influencer
u_000127,2025-04-20,US,app_store,organic
u_000128,2025-04-12,US,play_store,influencer
u_000129,2025-07-26,IN,stripe,referral
u_000130,2025-09-19,JP,stripe,referral
u_000131,2025-07-15,DE,app_store,referral
u_000132,2025-04-05,US,app_store,paid_search
u_000133,2025-06-17,IN,app_store,referral
u_000134,2024-03-20,CA,app_store,paid_search
u_000135,2024-11-23,FR,app_store,paid_social
u_000136,2024-08-24,GB,app_store,paid_social
u_000137,2024-03-06,DE,app_store,referral
u_000138,2025-03-01,US,stripe,referral
u_000139,2025-08-21,MX,app_store,influencer
u_000140,2025-01-24,DE,stripe,paid_search
u_000141,2025-02-03,JP,stripe,referral
